order_id,courier_id,delivery_lat,delivery_lng,promise_time,delivery_time,weight
CN_1_01,cainiao_courier_101,31.2334,121.4797,2024-05-10 09:42:00,2024-05-10 09:45:00,1.2
CN_1_02,cainiao_courier_101,31.2394,121.4847,2024-05-10 09:54:00,2024-05-10 09:55:00,1.2
CN_1_03,cainiao_courier_101,31.2414,121.4867,2024-05-10 10:06:00,2024-05-10 10:05:00,1.2
CN_1_04,cainiao_courier_101,31.2474,121.4947,2024-05-10 09:32:00,2024-05-10 10:15:00,1.2
CN_1_05,cainiao_courier_101,31.2494,121.4997,2024-05-10 10:30:00,2024-05-10 10:25:00,1.2
CN_1_06,cainiao_courier_101,31.2554,121.5017,2024-05-10 09:38:00,2024-05-10 10:35:00,1.2
CN_1_07,cainiao_courier_101,31.2574,121.5097,2024-05-10 09:25:00,2024-05-10 10:45:00,1.2
CN_1_08,cainiao_courier_101,31.2634,121.5147,2024-05-10 09:44:00,2024-05-10 10:55:00,1.2
CN_1_09,cainiao_courier_101,31.2654,121.5167,2024-05-10 11:18:00,2024-05-10 11:05:00,1.2
CN_1_10,cainiao_courier_101,31.2714,121.5247,2024-05-10 11:30:00,2024-05-10 11:15:00,1.2
CN_2_01,cainiao_courier_102,31.2834,121.5297,2024-05-10 09:42:00,2024-05-10 09:45:00,1.2
CN_2_02,cainiao_courier_102,31.2894,121.5347,2024-05-10 09:54:00,2024-05-10 09:55:00,1.2
CN_2_03,cainiao_courier_102,31.2914,121.5367,2024-05-10 10:06:00,2024-05-10 10:05:00,1.2
CN_2_04,cainiao_courier_102,31.2974,121.5447,2024-05-10 09:32:00,2024-05-10 10:15:00,1.2
CN_2_05,cainiao_courier_102,31.2994,121.5497,2024-05-10 10:30:00,2024-05-10 10:25:00,1.2
CN_2_06,cainiao_courier_102,31.3054,121.5517,2024-05-10 09:38:00,2024-05-10 10:35:00,1.2
CN_2_07,cainiao_courier_102,31.3074,121.5597,2024-05-10 09:25:00,2024-05-10 10:45:00,1.2
CN_2_08,cainiao_courier_102,31.3134,121.5647,2024-05-10 09:44:00,2024-05-10 10:55:00,1.2
CN_2_09,cainiao_courier_102,31.3154,121.5667,2024-05-10 11:18:00,2024-05-10 11:05:00,1.2
CN_2_10,cainiao_courier_102,31.3214,121.5747,2024-05-10 11:30:00,2024-05-10 11:15:00,1.2
